コード,銘柄名,市場,業種(17),業種(33),前日比(%),52週安値乖離(%),終値(円),当日出来高,10日平均出来高,RS,Industry Rank,Grade
6072,地盤ネットホールディングス,スタンダード,情報通信・サービスその他,サービス業,8.23,861.7,1433,"2,116,500","1,272,990",99,28/33,E
5218,オハラ,スタンダード,建設・資材,ガラス･土石製品,5.03,60.0,1565,"303,200","95,370",88,7/33,A
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム,電機・精密,電気機器,8.50,196.7,7770,"13,910,400","9,666,330",94,3/33,A
6597,ＨＰＣシステムズ,グロース,電機・精密,電気機器,16.67,292.9,4900,"854,100","172,000",99,3/33,A
6245,ヒラノテクシード,スタンダード,機械,機械,15.36,36.7,1863,"391,000","86,990",69,10/33,B
5998,アドバネクス,スタンダード,建設・資材,金属製品,8.78,267.4,2812,"39,700","27,840",98,19/33,C
2938,オカムラ食品工業,スタンダード,食品,食料品,7.07,84.9,1500,"195,900","167,650",89,29/33,E
4886,あすか製薬ホールディングス,プライム,医薬品,医薬品,5.19,56.5,2977,"167,100","128,720",76,30/33,E
7220,武蔵精密工業,プライム,自動車・輸送機,輸送用機器,9.97,238.3,7500,"4,072,200","2,734,240",99,13/33,B
4366,ダイトーケミックス,スタンダード,素材・化学,化学,17.78,156.4,530,"870,800","92,380",94,14/33,B
3936,グローバルウェイ,グロース,情報通信・サービスその他,情報･通信業,11.32,56.6,177,"11,958,200","2,549,690",91,32/33,E
3907,シリコンスタジオ,スタンダード,情報通信・サービスその他,情報･通信業,8.42,268.7,2098,"1,492,200","978,850",99,32/33,E
6707,サンケン電気,プライム,電機・精密,電気機器,5.02,88.1,9350,"285,200","148,430",71,3/33,A
6844,新電元工業,プライム,電機・精密,電気機器,5.32,80.7,3365,"228,700","134,360",78,3/33,A
6337,テセック,スタンダード,機械,機械,9.33,76.1,2661,"156,000","68,600",80,10/33,B
4063,信越化学工業,プライム,素材・化学,化学,5.47,74.3,7406,"11,120,800","6,539,690",87,14/33,B
7868,広済堂ホールディングス,プライム,情報通信・サービスその他,その他製品,6.56,72.2,698,"5,935,600","4,380,210",89,26/33,D
4258,網屋,グロース,情報通信・サービスその他,情報･通信業,5.02,40.9,3350,"142,500","70,530",88,32/33,E
9227,マイクロ波化学,グロース,情報通信・サービスその他,サービス業,8.43,177.3,1209,"9,484,400","606,240",94,28/33,E
5018,ＭＯＲＥＳＣＯ,スタンダード,エネルギー資源,石油･石炭製品,6.69,65.2,1898,"73,800","25,100",74,8/33,B
6635,大日光・エンジニアリング,スタンダード,電機・精密,電気機器,17.40,125.5,1012,"656,800","58,080",96,3/33,A
6327,北川精機,スタンダード,機械,機械,19.44,625.9,4300,"1,310,400","476,980",99,10/33,B
4228,積水化成品工業,プライム,素材・化学,化学,9.11,88.2,575,"840,700","308,620",86,14/33,B
7637,白銅,プライム,商社・卸売,卸売業,6.36,74.6,3680,"107,100","68,530",91,20/33,C
